term,value
http://purl.obolibrary.org/obo/ZP_0156013,"http://purl.obolibrary.org/obo/CHEBI_44236 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154623,"http://purl.obolibrary.org/obo/CHEBI_134575 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154626,"http://purl.obolibrary.org/obo/CHEBI_137830 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0156011,"http://purl.obolibrary.org/obo/CHEBI_134125 whole organism normal amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0137765,"http://purl.obolibrary.org/obo/CARO_0000010 hepatocyte amorphous, abnormal"
http://purl.obolibrary.org/obo/ZP_0151082,"http://purl.obolibrary.org/obo/CHEBI_166893 male organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154554,"http://purl.obolibrary.org/obo/CHEBI_46477 telencephalon decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154978,"http://purl.obolibrary.org/obo/CHEBI_8828 brain increased distribution, abnormal"
http://purl.obolibrary.org/obo/ZP_0154628,"http://purl.obolibrary.org/obo/CHEBI_166913 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154977,"http://purl.obolibrary.org/obo/CHEBI_8828 brain increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155080,"http://purl.obolibrary.org/obo/CHEBI_89951 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0156010,"http://purl.obolibrary.org/obo/CHEBI_134125 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154619,"http://purl.obolibrary.org/obo/CHEBI_132603 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0152322,"http://purl.obolibrary.org/obo/CHEBI_136167 brain decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155576,"http://purl.obolibrary.org/obo/CHEBI_140951 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0016006,"http://purl.obolibrary.org/obo/CARO_0000010 somite morphology, abnormal"
http://purl.obolibrary.org/obo/ZP_0151307,"http://purl.obolibrary.org/obo/CHEBI_142860 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0150825,"http://purl.obolibrary.org/obo/CHEBI_140940 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154652,"http://purl.obolibrary.org/obo/CHEBI_67060 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0152318,"http://purl.obolibrary.org/obo/CHEBI_77462 brain increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0152323,"http://purl.obolibrary.org/obo/CHEBI_167260 brain decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154622,"http://purl.obolibrary.org/obo/CHEBI_134494 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155316,"http://purl.obolibrary.org/obo/CHEBI_19227 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154642,"http://purl.obolibrary.org/obo/CHEBI_55484 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155539,"http://purl.obolibrary.org/obo/CHEBI_88526 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155577,"http://purl.obolibrary.org/obo/CHEBI_144330 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154656,"http://purl.obolibrary.org/obo/CHEBI_85767 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0149965,"http://purl.obolibrary.org/obo/CHEBI_749277 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154635,"http://purl.obolibrary.org/obo/CHEBI_177495 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0152956,"http://purl.obolibrary.org/obo/CHEBI_156252 spinal cord normal amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0152955,"http://purl.obolibrary.org/obo/CHEBI_156251 spinal cord normal amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155318,"http://purl.obolibrary.org/obo/CHEBI_19229 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154389,"http://purl.obolibrary.org/obo/CHEBI_83164 whole organism amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0023004,"http://purl.obolibrary.org/obo/CARO_0000010 myotome spatial pattern, abnormal"
http://purl.obolibrary.org/obo/ZP_0151794,"http://purl.obolibrary.org/obo/CHEBI_89951 muscle normal amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0152126,"http://purl.obolibrary.org/obo/CHEBI_64504 liver decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154629,"http://purl.obolibrary.org/obo/CHEBI_166934 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154378,"http://purl.obolibrary.org/obo/CHEBI_83164 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0152483,"http://purl.obolibrary.org/obo/CHEBI_67090 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154655,"http://purl.obolibrary.org/obo/CHEBI_83481 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155324,"http://purl.obolibrary.org/obo/CHEBI_19229 male organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155317,"http://purl.obolibrary.org/obo/CHEBI_19228 whole organism increased amount, abnormal"
