Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	trunk has fewer parts of type dermis melanocyte, abnormal	IAO:0000115	Any structural anomaly that causes there to be fewer parts of type dermis in the trunk.
ERROR	duplicate_definition	trunk has fewer parts of type dermis iridophore, abnormal	IAO:0000115	Any structural anomaly that causes there to be fewer parts of type dermis in the trunk.
ERROR	duplicate_definition	midbrain has fewer parts of type blood vasculature blood vessel, abnormal	IAO:0000115	Any structural anomaly that causes there to be fewer parts of type blood vasculature in the midbrain.
ERROR	duplicate_definition	midbrain has fewer parts of type blood vasculature macrophage, abnormal	IAO:0000115	Any structural anomaly that causes there to be fewer parts of type blood vasculature in the midbrain.
ERROR	duplicate_label	mesenchyme pectoral fin decreased amount, abnormal	rdfs:label	mesenchyme pectoral fin decreased amount, abnormal
ERROR	duplicate_label	mesenchyme pectoral fin decreased amount, abnormal	rdfs:label	mesenchyme pectoral fin decreased amount, abnormal
ERROR	duplicate_label	liver increased accumulation lipid droplet liver, abnormal	rdfs:label	liver increased accumulation lipid droplet liver, abnormal
ERROR	duplicate_label	liver increased accumulation lipid droplet liver, abnormal	rdfs:label	liver increased accumulation lipid droplet liver, abnormal
ERROR	duplicate_label	hair cell anterior macula decreased amount, abnormal	rdfs:label	hair cell anterior macula decreased amount, abnormal
ERROR	duplicate_label	hair cell anterior macula decreased amount, abnormal	rdfs:label	hair cell anterior macula decreased amount, abnormal
ERROR	misused_obsolete_label	obsolete cell differentiation involved in pronephros development disrupted, abnormal	rdfs:label	obsolete cell differentiation involved in pronephros development disrupted, abnormal
ERROR	misused_obsolete_label	obsolete Wnt-activated signaling pathway involved in forebrain neuron fate commitment disrupted, abnormal	rdfs:label	obsolete Wnt-activated signaling pathway involved in forebrain neuron fate commitment disrupted, abnormal
ERROR	misused_obsolete_label	obsolete activation of cysteine-type endopeptidase activity involved in apoptotic process increased occurrence, abnormal	rdfs:label	obsolete activation of cysteine-type endopeptidase activity involved in apoptotic process increased occurrence, abnormal
ERROR	misused_obsolete_label	obsolete regulation of Rho-dependent protein serine/threonine kinase activity process quality, abnormal	rdfs:label	obsolete regulation of Rho-dependent protein serine/threonine kinase activity process quality, abnormal
ERROR	misused_obsolete_label	obsolete epithelial cell migration involved in distal tubule morphogenesis disrupted, abnormal	rdfs:label	obsolete epithelial cell migration involved in distal tubule morphogenesis disrupted, abnormal
ERROR	misused_obsolete_label	obsolete chondroitin sulfate biosynthetic process process quality, abnormal	rdfs:label	obsolete chondroitin sulfate biosynthetic process process quality, abnormal
ERROR	misused_obsolete_label	obsolete motor neuron precursor migration involved in dorsal motor nucleus of vagus nerve formation disrupted, abnormal	rdfs:label	obsolete motor neuron precursor migration involved in dorsal motor nucleus of vagus nerve formation disrupted, abnormal
ERROR	misused_obsolete_label	obsolete early endosome to recycling endosome transport decreased occurrence, abnormal	rdfs:label	obsolete early endosome to recycling endosome transport decreased occurrence, abnormal
ERROR	misused_obsolete_label	obsolete D-glucose import decreased rate, abnormal	rdfs:label	obsolete D-glucose import decreased rate, abnormal
ERROR	misused_obsolete_label	obsolete DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest increased occurrence, abnormal	rdfs:label	obsolete DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest increased occurrence, abnormal
ERROR	misused_obsolete_label	obsolete delamination involved in gastrulation with mouth forming second disrupted, abnormal	rdfs:label	obsolete delamination involved in gastrulation with mouth forming second disrupted, abnormal
ERROR	misused_obsolete_label	obsolete canonical Wnt signaling pathway involved in neural crest cell differentiation disrupted, abnormal	rdfs:label	obsolete canonical Wnt signaling pathway involved in neural crest cell differentiation disrupted, abnormal
ERROR	misused_obsolete_label	obsolete regulation of proton-transporting ATPase activity, rotational mechanism decreased process quality, abnormal	rdfs:label	obsolete regulation of proton-transporting ATPase activity, rotational mechanism decreased process quality, abnormal
ERROR	misused_obsolete_label	obsolete regulation of cellular pH reduction decreased process quality, abnormal	rdfs:label	obsolete regulation of cellular pH reduction decreased process quality, abnormal
ERROR	misused_obsolete_label	obsolete DNA demethylation increased occurrence, abnormal	rdfs:label	obsolete DNA demethylation increased occurrence, abnormal
ERROR	misused_obsolete_label	obsolete extracellular space DEL decreased area, abnormal	rdfs:label	obsolete extracellular space DEL decreased area, abnormal
ERROR	misused_obsolete_label	obsolete mRNA polyadenylation disrupted, abnormal	rdfs:label	obsolete mRNA polyadenylation disrupted, abnormal
ERROR	misused_obsolete_label	obsolete D-glucose import decreased process quality, abnormal	rdfs:label	obsolete D-glucose import decreased process quality, abnormal
ERROR	misused_obsolete_label	obsolete protein glycosylation decreased process quality, abnormal	rdfs:label	obsolete protein glycosylation decreased process quality, abnormal
ERROR	misused_obsolete_label	obsolete chondroitin sulfate biosynthetic process increased occurrence, abnormal	rdfs:label	obsolete chondroitin sulfate biosynthetic process increased occurrence, abnormal
ERROR	misused_obsolete_label	obsolete RNA 3' uridylation increased occurrence, abnormal	rdfs:label	obsolete RNA 3' uridylation increased occurrence, abnormal
