ID [IRI]	LABEL
http://purl.obolibrary.org/obo/BFO_0000001	entity
http://purl.obolibrary.org/obo/BFO_0000002	continuant
http://purl.obolibrary.org/obo/BFO_0000003	occurrent
http://purl.obolibrary.org/obo/BFO_0000004	independent continuant
http://purl.obolibrary.org/obo/BFO_0000020	specifically dependent continuant
http://purl.obolibrary.org/obo/GO_0008150	biological_process
http://purl.obolibrary.org/obo/GO_0008283	cell population proliferation
http://purl.obolibrary.org/obo/GO_0009987	cellular process
http://purl.obolibrary.org/obo/PATO_0000001	quality
http://purl.obolibrary.org/obo/PATO_0000004	mobility
http://purl.obolibrary.org/obo/PATO_0000008	speed
http://purl.obolibrary.org/obo/PATO_0000014	color
http://purl.obolibrary.org/obo/PATO_0000025	composition
http://purl.obolibrary.org/obo/PATO_0000040	distance
http://purl.obolibrary.org/obo/PATO_0000051	morphology
http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/PATO_0000060	spatial pattern
http://purl.obolibrary.org/obo/PATO_0000068	qualitative
http://purl.obolibrary.org/obo/PATO_0000069	deviation (from_normal)
http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/PATO_0000117	size
http://purl.obolibrary.org/obo/PATO_0000119	height
http://purl.obolibrary.org/obo/PATO_0000122	length
http://purl.obolibrary.org/obo/PATO_0000125	mass
http://purl.obolibrary.org/obo/PATO_0000136	closure
http://purl.obolibrary.org/obo/PATO_0000140	position
http://purl.obolibrary.org/obo/PATO_0000141	structure
http://purl.obolibrary.org/obo/PATO_0000150	texture
http://purl.obolibrary.org/obo/PATO_0000186	behavioral quality
http://purl.obolibrary.org/obo/PATO_0000299	mobile
http://purl.obolibrary.org/obo/PATO_0000300	immobile
http://purl.obolibrary.org/obo/PATO_0000303	increased speed
http://purl.obolibrary.org/obo/PATO_0000304	decreased speed
http://purl.obolibrary.org/obo/PATO_0000317	black
http://purl.obolibrary.org/obo/PATO_0000318	blue
http://purl.obolibrary.org/obo/PATO_0000320	green
http://purl.obolibrary.org/obo/PATO_0000322	red
http://purl.obolibrary.org/obo/PATO_0000323	white
http://purl.obolibrary.org/obo/PATO_0000324	yellow
http://purl.obolibrary.org/obo/PATO_0000330	irregular spatial pattern
http://purl.obolibrary.org/obo/PATO_0000336	colored
http://purl.obolibrary.org/obo/PATO_0000374	increased distance
http://purl.obolibrary.org/obo/PATO_0000375	decreased distance
http://purl.obolibrary.org/obo/PATO_0000402	branched
http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/PATO_0000404	coiled
http://purl.obolibrary.org/obo/PATO_0000405	curled
http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/PATO_0000407	flat
http://purl.obolibrary.org/obo/PATO_0000410	pinnate
http://purl.obolibrary.org/obo/PATO_0000411	circular
http://purl.obolibrary.org/obo/PATO_0000413	square
http://purl.obolibrary.org/obo/PATO_0000414	unbranched
http://purl.obolibrary.org/obo/PATO_0000440	regular spatial pattern
http://purl.obolibrary.org/obo/PATO_0000460	abnormal
http://purl.obolibrary.org/obo/PATO_0000461	normal
http://purl.obolibrary.org/obo/PATO_0000462	absent
http://purl.obolibrary.org/obo/PATO_0000467	present
http://purl.obolibrary.org/obo/PATO_0000470	increased amount
http://purl.obolibrary.org/obo/PATO_0000569	decreased height
http://purl.obolibrary.org/obo/PATO_0000570	increased height
http://purl.obolibrary.org/obo/PATO_0000573	increased length
http://purl.obolibrary.org/obo/PATO_0000574	decreased length
http://purl.obolibrary.org/obo/PATO_0000585	hypotrophic
http://purl.obolibrary.org/obo/PATO_0000586	increased size
http://purl.obolibrary.org/obo/PATO_0000587	decreased size
http://purl.obolibrary.org/obo/PATO_0000591	increased thickness
http://purl.obolibrary.org/obo/PATO_0000592	decreased thickness
http://purl.obolibrary.org/obo/PATO_0000595	increased volume
http://purl.obolibrary.org/obo/PATO_0000596	decreased volume
http://purl.obolibrary.org/obo/PATO_0000599	decreased width
http://purl.obolibrary.org/obo/PATO_0000600	increased width
http://purl.obolibrary.org/obo/PATO_0000608	closed
http://purl.obolibrary.org/obo/PATO_0000609	closure incomplete
http://purl.obolibrary.org/obo/PATO_0000610	open
http://purl.obolibrary.org/obo/PATO_0000614	oriented
http://purl.obolibrary.org/obo/PATO_0000615	wholly anteriorized
http://purl.obolibrary.org/obo/PATO_0000616	asymmetrical
http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/PATO_0000620	wholly dorsalized
http://purl.obolibrary.org/obo/PATO_0000623	exserted
http://purl.obolibrary.org/obo/PATO_0000628	mislocalised
http://purl.obolibrary.org/obo/PATO_0000630	wholly posteriorized
http://purl.obolibrary.org/obo/PATO_0000636	wholly ventralized
http://purl.obolibrary.org/obo/PATO_0000638	apoptotic
http://purl.obolibrary.org/obo/PATO_0000639	degenerate
http://purl.obolibrary.org/obo/PATO_0000640	dysplastic
http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/PATO_0000644	hyperplastic
http://purl.obolibrary.org/obo/PATO_0000645	hypoplastic
http://purl.obolibrary.org/obo/PATO_0000646	malformed
http://purl.obolibrary.org/obo/PATO_0000647	necrotic
http://purl.obolibrary.org/obo/PATO_0000648	obstructed
http://purl.obolibrary.org/obo/PATO_0000763	paralysed
http://purl.obolibrary.org/obo/PATO_0000915	thickness
http://purl.obolibrary.org/obo/PATO_0000918	volume
http://purl.obolibrary.org/obo/PATO_0000921	width
http://purl.obolibrary.org/obo/PATO_0000936	truncated
http://purl.obolibrary.org/obo/PATO_0000937	disorganized
http://purl.obolibrary.org/obo/PATO_0000944	sharpness
http://purl.obolibrary.org/obo/PATO_0000946	oblong
http://purl.obolibrary.org/obo/PATO_0000947	elliptic
http://purl.obolibrary.org/obo/PATO_0000950	grey
http://purl.obolibrary.org/obo/PATO_0000952	brown
